Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7195/9780719566912.jpg,Mani,Patrick Leigh Fermor,Paperback,4.0,9.29,13.9,9780719566912,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007316199.jpg,The Boy Who Harnessed the Wind,William Kamkwamba,Paperback,4.0,9.14,11.4,9780007316199,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241954294.jpg,The Spirit Level,Kate Pickett,Paperback,4.0,10.84,13.9,9780241954294,Society-Social-Sciences
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3995/9780399537424.jpg,Lord of the Flies,Sir William Golding,Paperback,3.5,11.58,13.9,9780399537424,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6035/9781603580311.jpg,The Resilient Gardener,Carol Deppe,Paperback,4.0,22.99,27.0,9781603580311,Technology-Engineering
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421596204.jpg,"One-Punch Man, Vol. 12",One,Paperback,4.5,6.68,8.8,9781421596204,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7432/9780743231497.jpg,The Clash Of Civilizations,Samuel P. Huntington,Paperback,3.5,10.31,12.9,9780743231497,Society-Social-Sciences
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9116/9781911600893.jpg,My Thoughts Exactly,LILY ALLEN,Hardback,4.0,16.52,24.0,9781911600893,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4027/9781402788291.jpg,The Math Book,Clifford A. Pickover,Paperback,4.0,16.79,22.0,9781402788291,Science-Geography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5706/9781570629570.jpg,Cutting Spiritual Materialism,Trungpa Tulku Chogyam Trungpa,Paperback,4.5,12.91,19.1,9781570629570,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7866/9781786695079.jpg,The Lost City of the Monkey God,Douglas Preston,Paperback,4.0,9.45,11.4,9781786695079,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9784/7890/9784789014403.jpg,Genki 1 Textbook,Eri Banno,Mixed media product,4.5,53.27,79.0,9784789014403,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3104/9780310494188.jpg,Center Church,Timothy Keller,Hardback,4.5,19.7,29.9,9780310494188,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472140654.jpg,At Home with Dyslexia,Sascha Roos,Paperback,5.0,12.72,17.0,9781472140654,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8348/9780834815162.jpg,The Art Of Japanese Joinery,Kiyosi Seike,Paperback,4.0,18.31,25.2,9780834815162,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5709/9781570911644.jpg,Sir Cumference And The Dragon Of Pi,Cindy Neuschwander,Paperback,4.0,7.14,8.8,9781570911644,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419722363.jpg,Kaffe Fassett's Bold Blooms:Quilts and Other Works Celebrating Fl,Kaffe Fassett,Hardback,4.5,28.98,32.49,9781419722363,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7602/9781760293932.jpg,Courage in the Skies,Jim Eames,Paperback,4.5,16.97,21.1,9781760293932,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199536849.jpg,Gulliver's Travels,Jonathan Swift,Paperback,3.5,6.51,7.8,9780199536849,Poetry-Drama
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7856/9781785652769.jpg,Our Dark Duet,V. E. Schwab,Paperback,4.0,8.9,10.5,9781785652769,Science-Fiction-Fantasy-Horror
