Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,CatID,BookID,Year,Position,Status,Description
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7822/9781782211570.jpg,Rainbow Crocheted Blankets,Amanda Perkins,Paperback,4.5,14.5,16.0,9781782211570,cat08,book05276,1995/08/03,5276,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446306253.jpg,Making Luna Lapin,Sarah Peel,Paperback,5.0,15.64,20.1,9781446306253,cat08,book05277,1990/02/26,5277,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446306666.jpg,"lalylala's Beetles, Bugs and Butterflies",Lydia Tresselt,Hardback,4.5,16.45,21.1,9781446306666,cat08,book05278,1995/04/30,5278,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7134/9780713484649.jpg,Logical Chess : Move By Move,Irving Chernev,Paperback,4.0,13.91,20.1,9780713484649,cat08,book05279,1984/02/29,5279,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446302057.jpg,Tilda's Winter Ideas,Tone Finnanger,Paperback,4.5,8.09,10.3,9781446302057,cat08,book05280,1988/12/24,5280,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7148/9780714878300.jpg,Flower Colour Guide,DARROCH PUTNAM,Paperback,4.5,24.48,29.95,9780714878300,cat08,book05281,1978/12/23,5281,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7815/9781781572054.jpg,The 1000 Dot-to-Dot Book: Masterpieces,THOMAS PAVITTE,Paperback,0.0,9.66,12.9,9781781572054,cat08,book05282,1997/10/22,5282,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446307267.jpg,Tilda Hot Chocolate Sewing,Tone Finnanger,Paperback,4.5,16.03,21.1,9781446307267,cat08,book05283,2020/07/02,5283,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594745256.jpg,Crafting With Cat Hair,Kaori Tsutaya,Paperback,4.0,10.82,15.0,9781594745256,cat08,book05284,1993/09/04,5284,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6005/9781600596155.jpg,Fa la la la Felt,Amanda Carestio,Paperback,4.0,10.56,16.0,9781600596155,cat08,book05285,1992/03/17,5285,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6176/9781617690129.jpg,Art Doodle Love:A Journal of Self-Discovery,Dawn DeVries Sokol,Paperback,4.0,9.37,12.4,9781617690129,cat08,book05286,2019/12/18,5286,Available,
